text,label
"Film był wspaniały, aktorzy zagrali doskonale. Polecam każdemu, kto lubi kino sensacyjne.",pozytywna
"Nuda, beznadziejna fabuła i tragiczne dialogi. Szkoda czasu i pieniędzy na bilet.",negatywna
"Ciekawy thriller z dobrym twistem na końcu. Warto obejrzeć w kinie na dużym ekranie.",pozytywna
"Nie rozumiem zachwytu krytyków. Przeciętne kino, nic nowego. Przewidywalna fabuła od pierwszej minuty.",negatywna
"Arcydzieło! Zdjęcia, muzyka, gra aktorska — wszystko na najwyższym poziomie. Dawno nie widziałem tak dobrego filmu.",pozytywna
"Rozczarowanie roku. Trailer obiecywał więcej niż film dostarczył. Wyszedłem z kina po godzinie.",negatywna
"Piękna historia miłosna w klimacie lat 80. Świetna ścieżka dźwiękowa i fenomenalne zdjęcia.",pozytywna
"Totalny kicz. Dialogi jakby pisał automat, a aktorzy grają jak drewniane kukiełki.",negatywna
"Bardzo dobra ekranizacja książki. Reżyser oddał klimat oryginału i dodał coś od siebie.",pozytywna
"Film nie trzyma się kupy. Dziury fabularne na każdym kroku i absurdalne zachowania bohaterów.",negatywna
"Rewelacyjne efekty specjalne i świetna reżyseria. Jeden z lepszych filmów akcji ostatnich lat.",pozytywna
"Zanudziłem się śmiertelnie. Dwie godziny mojego życia, których nie odzyskam. Omijać szerokim łukiem.",negatywna
"Wzruszający film o sile ludzkiego ducha. Kilka scen wycisnęło ze mnie łzy. Gorąco polecam.",pozytywna
"Słaba gra aktorska i przewidywalny scenariusz. Jedynym plusem jest ładna scenografia.",negatywna
"Genialny scenariusz pełen nieoczekiwanych zwrotów akcji. Ogląda się jednym tchem od początku do końca.",pozytywna
"Kompletna strata czasu. Humor na poziomie przedszkola, żarty nie śmieszą, fabuła nie angażuje.",negatywna
"Świetny film familijny. Dzieci były zachwycone, a dorośli też się nie nudzili. Idealne kino na weekend.",pozytywna
"Niestety sequel nie dorównuje oryginałowi. Brakuje świeżości i pomysłu, wszystko już gdzieś widziałem.",negatywna
"Klimatyczny horror z naprawdę przerażającymi scenami. Dawno żaden film nie wzbudził we mnie takiego napięcia.",pozytywna
"Film próbuje być mądry i głęboki, ale wypada pretensjonalnie i nudno. Reżyser chyba sam nie wie, co chciał powiedzieć.",negatywna
"Doskonała komedia romantyczna. Lekka, zabawna i pełna uroku. Idealny film na randkę.",pozytywna
"Bezsensowna fabuła, zero logiki i irytujący bohaterowie. Nie polecam nikomu.",negatywna
"Wspaniałe kreacje aktorskie, szczególnie główna rola. Aktor zasługuje na nagrodę za ten występ.",pozytywna
"Zbyt długi film, który mógłby trwać godzinę krócej. Druga połowa ciągnie się niemiłosiernie.",negatywna
"Piękny wizualnie film animowany. Każda klatka to małe dzieło sztuki. Rewelacja dla oczu.",pozytywna
"Kolejny bezsensowny remake klasyki. Hollywood nie ma już żadnych oryginalnych pomysłów.",negatywna
"Porywający dramat sądowy z fenomenalnym aktorstwem. Trzyma w napięciu do ostatniej minuty.",pozytywna
"Chaotyczny montaż i niezrozumiała narracja. Miałem wrażenie, że oglądam trzy różne filmy na raz.",negatywna
"Bardzo udana adaptacja komiksu. Wreszcie ktoś potraktował materiał źródłowy z szacunkiem.",pozytywna
"Film bez duszy. Technicznie poprawny, ale nie wywołuje żadnych emocji. Zapomniałem o nim po wyjściu z kina.",negatywna
"Zaskakująco dobry debiut reżyserski. Świeże spojrzenie i odwaga w podejmowaniu trudnych tematów.",pozytywna
"Okropna komedia, ani razu się nie uśmiechnąłem. Żenujący humor oparty na stereotypach.",negatywna
"Magiczny film, który zabiera widza w niezwykłą podróż. Kino w najlepszym wydaniu.",pozytywna
"Produkcja rozczarowuje na każdym poziomie. Słaby scenariusz, kiepska muzyka i fatalne efekty specjalne.",negatywna
"Świetnie zrealizowany film dokumentalny. Rzetelnie przedstawia temat i zmusza do refleksji.",pozytywna
"Pretensjonalne kino autorskie, które udaje głębokie. W rzeczywistości jest po prostu nudne i niezrozumiałe.",negatywna
"Jeden z najlepszych polskich filmów ostatnich lat. Wreszcie produkcja, z której możemy być dumni.",pozytywna
"Katastrofalny dubbing zniszczył cały film. Głosy kompletnie nie pasują do postaci.",negatywna
"Cudowna bajka dla dzieci i dorosłych. Pełna humoru, ciepła i mądrych przesłań.",pozytywna
"Nieudana próba połączenia gatunków. Film nie wie, czy chce być komedią, dramatem czy horrorem.",negatywna
"Perfekcyjnie nakręcone sceny akcji i charyzmatyczny bohater. Kino rozrywkowe najwyższej klasy.",pozytywna
"Stracony potencjał. Obsada gwiazd nie ratuje mizernego scenariusza i chaotycznej reżyserii.",negatywna
"Nostalgiczny film, który przywołuje wspomnienia z dzieciństwa. Ciepła, rodzinna historia opowiedziana z sercem.",pozytywna
"Absolutna dna kinematografii. Nie wiem, jak ten film trafił do kin. Żałuję każdej wydanej złotówki.",negatywna
"Wciągająca historia oparta na faktach. Film edukuje i bawi jednocześnie. Rzadkie połączenie.",pozytywna
"Mdła i pozbawiona energii kontynuacja serii. Twórcy wyraźnie nie mieli pomysłu na dalszy ciąg.",negatywna
"Odkrycie festiwalu! Niszowy film, który zasługuje na znacznie szerszą publiczność.",pozytywna
"Męczące dwie godziny pełne klisz i banalnych dialogów. Twórcy nie szanują inteligencji widza.",negatywna
"Fantastyczna muzyka filmowa, która zostaje w głowie na długo po seansie. Sam film też na poziomie.",pozytywna
"Kolejna nieudana polska komedia. Te same żarty, te same schematy, zero inwencji.",negatywna
