text,restauracja,ocena
"Najlepsza pizza w mieście! Ciasto cienkie i chrupiące, składniki świeże, sos pomidorowy domowej roboty. Obsługa miła i szybka. Na pewno wrócę.",Pizzeria Napoli,5
"Zupa dnia była letnia i bez smaku. Drugie danie przyszło po czterdziestu minutach oczekiwania. Kelner zapomniał o naszym stoliku. Nigdy więcej.",Bistro Pod Lipą,1
"Fantastyczne sushi za rozsądną cenę. Ryba świeża, ryż idealnie ugotowany, wasabi prawdziwe a nie z proszku. Wnętrze klimatyczne.",Sakura Sushi Bar,5
"Obiad dnia za trzydzieści złotych to żart. Porcje mikroskopijne, a jakość jedzenia jak w stołówce szkolnej. Nie polecam.",Gospoda Staropolska,1
"Pierogi ruskie jak u babci. Ciasto miękkie, farsz obfity, masło i cebulka na wierzchu. Do tego barszcz ukraiński rewelacyjny.",Pierogarnia Mąka,5
"Zamówiłam sałatkę cezar i dostałam liść sałaty z dwoma grzankami i sosem z butelki. Za dwadzieścia pięć złotych to skandal.",Cafe Modern,1
"Wspaniały steak medium rare. Mięso rozpływało się w ustach. Do tego frytki truflowe i grillowane warzywa. Wieczór idealny.",Grill House,5
"Kawa jak pomyje, ciasto suche i czerstwe. Kelnerka miała minę jakby robiła nam łaskę obsługując. Atmosfera przygnębiająca.",Cukiernia Słodki Kącik,1
"Genialny brunch w niedzielę. Jajka benedykt z łososiem, świeże soki, pancakes z owocami. Miejsce idealne na leniwe weekendy.",Cafe Brunch & Co,5
"Zamówienie przez aplikację przyszło po półtorej godziny, zimne i pomieszane. Brak połowy rzeczy z zamówienia. Reklamacja zignorowana.",Pizza Express,1
"Autentyczna kuchnia tajska. Tom yum ostry jak trzeba, pad thai z krewetkami pyszny. Porcje duże, ceny przystępne.",Thai Smile,5
"Schabowy jak podeszwa od buta. Ziemniaki z proszku, surówka z lodówki. W domu można zrobić lepiej za połowę ceny.",Bar Familijny,1
"Degustacja win połączona z kolacją to było niesamowite doświadczenie. Sommelier doskonale dobierał wina do kolejnych dań.",Winiarnia Pod Beczką,5
"Hałas nie do zniesienia, stoliki stłoczone jeden na drugim, jedzenie przeciętne. Jedynym plusem jest lokalizacja w centrum.",Trendy Bistro,1
"Pyszne lody rzemieślnicze. Smak pistacjowy i mango są absolutnie genialne. Porcje hojne, wafelki świeże.",Lodziarnia Paradiso,5
"Burger za czterdzieści złotych i jest suchy jak Sahara. Bułka twardawa, mięso bez smaku. Frytki jedyny jasny punkt.",Burger Joint,1
"Restauracja z widokiem na rynek. Kaczka konfitowana fenomenalna, risotto z grzybami leśnymi pyszne. Elegancka obsługa.",Restauracja Rynek,5
"Menu degustacyjne za dwieście złotych od osoby a porcje jak dla mrówki. Kelner tłumaczył że to kuchnia autorska. Wyszliśmy głodni.",Chef's Table,1
"Śniadanie za dwadzieścia złotych z jajecznicą owsianka kawa i sok to najlepsza oferta w okolicy. Codziennie rano tu wpadam.",Kawiarnia Poranna,5
"Czekaliśmy na stolik pół godziny mimo rezerwacji. Potem kolejne czterdzieści minut na jedzenie. Przeprosiny żadne. Nie wrócimy.",Osteria Bella,1
