text,label
"Film był absolutnie wspaniały, gra aktorska na najwyższym poziomie. Reżyser stworzył dzieło, które na długo pozostanie w pamięci widza. Polecam każdemu!",pozytywna
"Niestety, to jeden z najgorszych filmów jakie widziałem w tym roku. Fabuła nudna i przewidywalna, aktorzy grali bez przekonania.",negatywna
"Świetne efekty specjalne i bardzo dobra muzyka. Historia wciąga od pierwszej minuty. Zdecydowanie warto obejrzeć na dużym ekranie.",pozytywna
"Kompletna strata czasu. Dialogi żenujące, scenariusz nie trzyma się kupy. Żałuję wydanych pieniędzy na bilet.",negatywna
"Bardzo dobry film familijny. Dzieci były zachwycone, a dorośli też się nie nudzili. Humor na odpowiednim poziomie.",pozytywna
"Nie rozumiem pozytywnych recenzji tego filmu. Akcja ciągnie się niemiłosiernie, a zakończenie jest rozczarowujące.",negatywna
"Piękne zdjęcia i niesamowita scenografia. Aktorzy zagrali rewelacyjnie, szczególnie główna bohaterka.",pozytywna
"Film miał potencjał, ale reżyser go zmarnował. Zbyt dużo niepotrzebnych scen i chaotyczny montaż.",negatywna
"Jeden z najlepszych polskich filmów ostatnich lat. Poruszający scenariusz i znakomite aktorstwo. Wzruszałem się do łez.",pozytywna
"Rozczarowanie roku. Trailer zapowiadał świetny film, a dostaliśmy nudną i wtórną produkcję bez polotu.",negatywna
"Fantastyczna komedia romantyczna. Śmiałem się przez cały seans. Aktorzy mają świetną chemię na ekranie.",pozytywna
"Tragedia. Film nie miał ani głowy, ani ogona. Strata dwóch godzin życia, które już nie wrócą.",negatywna
"Zaskakująco dobry film. Nie spodziewałem się wiele, a dostałem naprawdę solidne kino z głębokim przesłaniem.",pozytywna
"Kolejna bezsensowna kontynuacja, która nie dorasta do oryginału. Hollywood powinno przestać produkować takie sequele.",negatywna
"Rewelacyjny thriller psychologiczny. Trzymał mnie w napięciu do samego końca. Twist fabularny był genialny!",pozytywna
"Męczący i pretensjonalny film artystyczny. Reżyser próbował być mądrzejszy niż jest. Publiczność zasypiała na sali.",negatywna
"Cudowna animacja dla całej rodziny. Kolorowa, wesoła i z dobrym przesłaniem moralnym. Dzieci prosiły o powtórkę.",pozytywna
"Słaby scenariusz ratowany przez dobrą grę aktorów. Niestety to za mało żeby uznać film za udany.",negatywna
"Arcydzieło kina wojennego. Realistyczne sceny bitewne i poruszające historie bohaterów. Film, który trzeba zobaczyć.",pozytywna
"Nudny jak flaki z olejem. Przez pierwszą godzinę nic się nie dzieje, a potem jest jeszcze gorzej.",negatywna
"Doskonały horror, który naprawdę straszy. Klimat budowany powoli i konsekwentnie. Dawno nie bałem się tak w kinie.",pozytywna
"Film bez sensu i logiki. Postacie zachowują się irracjonalnie, a fabuła ma więcej dziur niż szwajcarski ser.",negatywna
"Wzruszająca opowieść o miłości i poświęceniu. Piękna muzyka i niezapomniane sceny. Płakałam ze szczęścia.",pozytywna
"Zbyt długi i rozwlekły. Można było spokojnie wyciąć godzinę i film nic by na tym nie stracił.",negatywna
"Genialny debiut reżyserski. Świeże spojrzenie na gatunek i odważne decyzje artystyczne. Czekam na więcej!",pozytywna
"Totalnie nie polecam. Pieniądze wyrzucone w błoto. Film jest tak zły, że aż śmieszny, ale nie w zamierzony sposób.",negatywna
"Perfekcyjna adaptacja książki. Twórcy zachowali ducha oryginału i dodali coś od siebie. Fani będą zachwyceni.",pozytywna
"Okropne efekty specjalne jak z lat dziewięćdziesiątych. Przy takim budżecie to jest nie do przyjęcia.",negatywna
"Bardzo klimatyczny film noir. Mroczna atmosfera i świetna gra światłem. Styl wizualny jest fenomenalny.",pozytywna
"Nie wiem co reżyser chciał przekazać. Film jest pretensjonalny i niezrozumiały. Kompletna porażka.",negatywna
"Wspaniała podróż w czasie. Film zabiera widza w niesamowitą przygodę pełną zwrotów akcji i emocji.",pozytywna
"Dramat, który porusza ważne tematy społeczne. Aktorzy dali z siebie wszystko. Kino zaangażowane w najlepszym wydaniu.",pozytywna
"Kolejny film z gatunku tych zapomnianych już następnego dnia. Nic nowego, nic ciekawego, nic wartego uwagi.",negatywna
"Muzyczny spektakl pełen energii. Choreografia zapiera dech w piersiach. Soundtrack jest fenomenalny!",pozytywna
"Film próbuje być zabawny, ale humor jest płaski i infantylny. Żarty nie śmieszą nawet dzieci.",negatywna
"Kino akcji w najlepszym wydaniu. Dynamiczne sceny, charyzmatyczny bohater i solidna fabuła. Super rozrywka!",pozytywna
"Beznadziejny dubbing kompletnie zepsuł odbiór filmu. Głosy nie pasują do postaci. Lepiej obejrzeć z napisami.",negatywna
"Magiczny film, który przywraca wiarę w dobre kino. Każda scena jest dopracowana do perfekcji.",pozytywna
"Miałem wysokie oczekiwania i wszystkie zostały zawiedzione. Film jest pusty i bezduszny jak plastikowa lalka.",negatywna
"Niezwykły dokument o polskiej przyrodzie. Piękne ujęcia i fascynujący komentarz. Edukacja i rozrywka w jednym.",pozytywna
